codimap_category,codimap_title,codimap_date,views,comment_numbers
캐주얼,톤온톤 코디,21.07.02,"17,200",50
캐주얼,블랙 매니아,21.02.23,"36,256",47
캐주얼,오늘의 코디,22.03.22,"13,348",43
댄디,추천 댄디 룩,21.09.15,"21,545",32
캐주얼,릴랙스 룩,21.02.23,"23,993",25
스트릿,힙하다 힙해,21.02.03,"36,031",24
댄디,데이트 코디,21.12.24,"10,931",19
캐주얼,심플한 코디,21.07.30,"41,320",18
댄디,훈훈 남친 룩,21.03.24,"19,969",17
댄디,남친 룩으로 제격,21.12.24,"10,155",17
댄디,서머 데이트 룩,21.07.26,"8,342",17
캐주얼,지금 입기 좋아,21.08.31,"20,863",16
캐주얼,꾸안꾸 코디,22.11.04,"5,171",15
아메카지,아메리칸 캐주얼,21.12.21,"5,813",14
비즈니스캐주얼,깔끔하게 즐겨,21.11.09,"6,581",13
아메카지,남다른 감각,21.11.17,"5,057",11
캐주얼,편안함의 완성,21.10.04,"20,054",11
비즈니스캐주얼,매력적인 포멀 룩,21.09.17,"11,702",10
캐주얼,원 마일 웨어,21.10.08,"17,049",10
캐주얼,편하게 완성,21.07.21,"15,319",10
캐주얼,레이어드의 매력,21.06.04,"12,764",9
비즈니스캐주얼,깔끔한 매력,21.03.08,"13,987",8
캐주얼,잘 고른 재킷,20.10.28,"20,839",8
댄디,레이어드의 매력,21.11.23,"10,526",8
비즈니스캐주얼,손색 없는 단정함,21.11.12,"3,369",8
댄디,남친 룩의 정석,20.11.04,"16,635",8
시크,시크한 감각,21.08.20,"3,891",8
캐주얼,서머 캠퍼스 룩,22.07.19,"3,334",8
캐주얼,발랄함 가득!,21.07.05,"3,220",8
비즈니스캐주얼,단정한 모습,21.11.26,"5,869",7
캐주얼,캠퍼스 룩,21.07.12,"7,448",7
댄디,훈훈한 스타일,21.12.29,"3,673",7
아메카지,센스 있는 아메카지,22.10.26,"8,405",7
캐주얼,캐주얼 룩의 정석,20.11.06,"16,410",7
캐주얼,러블리 캐주얼,20.11.18,"10,810",7
아메카지,색감에 반해,22.11.02,"7,485",7
캐주얼,오늘의 무드,21.12.06,"7,047",7
아메카지,실패 없는 코디,21.06.11,"8,413",6
아메카지,아메카지 무드,22.06.17,"4,879",6
캐주얼,귀여운 프레피 룩,21.06.04,"12,352",6
댄디,데이트하는 날,21.09.07,"17,872",6
스트릿,따라 입고 싶어,21.08.30,"2,260",6
캐주얼,피크닉 가자!,21.08.20,"2,808",6
비즈니스캐주얼,클래식한 실루엣,21.01.15,"4,381",6
댄디,레더 스타일링,21.09.28,"8,258",6
비즈니스캐주얼,완벽한 스타일링,21.09.15,"4,210",6
로맨틱,레트로 스타일링,21.05.17,"2,326",6
비즈니스캐주얼,깔끔한 연출,21.11.10,"3,706",6
아메카지,아메카지 무드,22.11.10,"6,490",6
캐주얼,남친 룩 추천,21.06.11,"11,029",6
댄디,레이어드 코디,21.06.10,"2,584",5
캐주얼,편하게 멋 내봐,21.09.08,"11,733",5
캐주얼,멋 내는 방법,21.07.02,"5,982",5
캐주얼,캐주얼 룩의 정석,21.03.12,"11,187",5
스트릿,스트라이프 활용법,21.02.19,"2,870",5
캐주얼,그린 포인트!,21.05.28,"5,507",5
캐주얼,레트로 무드,21.03.12,"11,748",5
걸리시,누구나 반해,21.12.24,"4,765",5
캐주얼,가볍게 툭!,21.05.31,"3,491",5
비즈니스캐주얼,데이트 룩 완성!,21.02.08,"10,885",5
